#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
25648948088520,0.0070355386,-0.0583689958,-0.3709933162,0.3200565875,-0.2846467197,-0.6847236753,0.5896555185,-0.1309147030,-0.2981930971,-0.2664219141,0.8759785891,-0.4703187048,0.0856571719,-0.0642237291
25648954934829,0.0090713948,-0.0569701493,-0.3688411713,0.3367994130,-0.2915070057,-0.6823323965,0.5796657801,-0.1358396560,-0.2940684557,-0.2668439150,0.8774731755,-0.4637764394,0.0980185866,-0.0731077343
25648961849077,0.0077890754,-0.0564715862,-0.3690497875,0.3492606878,-0.2963490784,-0.6799570322,0.5725842118,-0.1408570111,-0.2900260687,-0.2681833506,0.8789032698,-0.4575202763,0.1079383269,-0.0809546784
25648968876809,0.0084579438,-0.0547980368,-0.3683838248,0.3616011739,-0.3009804785,-0.6778552532,0.5649492741,-0.1456561238,-0.2851490974,-0.2694849968,0.8800810575,-0.4511970878,0.1183172837,-0.0887670740
25648975794568,0.0073500574,-0.0546477437,-0.3686870337,0.3735878468,-0.3057459295,-0.6755957603,0.5572449565,-0.1508373320,-0.2829545438,-0.2717965841,0.8808455467,-0.4452159107,0.1287513822,-0.0965245590
25648982704136,0.0083419532,-0.0535438061,-0.3681384325,0.3836987615,-0.3102017641,-0.6740978360,0.5496747494,-0.1554443836,-0.2758262753,-0.2723522186,0.8812893033,-0.4389764965,0.1397670060,-0.1053280979
25648989662717,0.0086112320,-0.0522454083,-0.3675457835,0.3940822184,-0.3155463934,-0.6725876331,0.5410689116,-0.1606352776,-0.2728865743,-0.2744153738,0.8817153573,-0.4324707389,0.1506062597,-0.1134237051
25648996601435,0.0095549524,-0.0520525277,-0.3676114082,0.4042983949,-0.3220783770,-0.6705860496,0.5320928693,-0.1655659080,-0.2685525417,-0.2753255367,0.8816780448,-0.4266064465,0.1609883010,-0.1213824749
25649003603827,0.0075944960,-0.0517823398,-0.3681004047,0.4143483043,-0.3281314671,-0.6688702703,0.5227407813,-0.1705411971,-0.2657474577,-0.2772046328,0.8816156387,-0.4202309549,0.1715894192,-0.1292936653
25649010409343,0.0076031089,-0.0505498052,-0.3678658009,0.4243806899,-0.3347926736,-0.6671369672,0.5125848651,-0.1751078665,-0.2599475384,-0.2779161334,0.8812208176,-0.4139910042,0.1822050363,-0.1373415887
25649017518465,0.0087197125,-0.0503375530,-0.3679584861,0.4341647923,-0.3416336775,-0.6649785042,0.5025843382,-0.1804336905,-0.2574390471,-0.2795334458,0.8805334568,-0.4079261422,0.1928714067,-0.1451128870
25649024450845,0.0066410452,-0.0499497950,-0.3686071038,0.4434207380,-0.3473139405,-0.6631944180,0.4928734303,-0.1847284585,-0.2523876727,-0.2800718546,0.8794048429,-0.4022024870,0.2035577148,-0.1531158835
25649031357713,0.0069285929,-0.0491279364,-0.3684660196,0.4526640475,-0.3529161811,-0.6613999009,0.4827997088,-0.1889641732,-0.2465988100,-0.2806175947,0.8781084418,-0.3960874379,0.2146017998,-0.1612030417
25649038194031,0.0082134157,-0.0493985713,-0.3683269620,0.4613871574,-0.3581723869,-0.6592014432,0.4735905528,-0.1941521168,-0.2440232635,-0.2819300294,0.8766217828,-0.3898276389,0.2256917953,-0.1692094505
25649045132021,0.0085461587,-0.0491347611,-0.3680966496,0.4695576429,-0.3629555702,-0.6568592191,0.4650966823,-0.1967705339,-0.2366220057,-0.2809888721,0.8749063611,-0.3839589357,0.2365081459,-0.1765739769
25649052114810,0.0063845068,-0.0492161512,-0.3685404062,0.4778234065,-0.3679378629,-0.6539946795,0.4567247331,-0.2019969821,-0.2337999940,-0.2820372581,0.8728963137,-0.3779010177,0.2476621121,-0.1841366291
25649059183132,0.0070031881,-0.0497180820,-0.3681346178,0.4861956239,-0.3728513420,-0.6500056386,0.4495423734,-0.2055752128,-0.2290129662,-0.2818922997,0.8707682490,-0.3721604943,0.2583217919,-0.1911261082
25649066252554,0.0073168874,-0.0498100221,-0.3678755760,0.4943218827,-0.3775228560,-0.6455563307,0.4431472421,-0.2088825852,-0.2238818705,-0.2819435596,0.8685359955,-0.3665141463,0.2687306106,-0.1977286041
25649072917618,0.0081457198,-0.0496478379,-0.3656294346,0.5056758523,-0.3831473291,-0.6393707395,0.4343906641,-0.2125634253,-0.2198420465,-0.2810664177,0.8659368157,-0.3605334163,0.2795751095,-0.2049556226
