#timestamp [ns],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [],p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z []
59157654799471,0.0050670132,-0.1386684179,-0.4392639101,-0.3874558508,0.1434437335,0.4704067409,-0.7797559500,-0.0934994593,-0.2664452791,-0.3503248990,0.9163833261,-0.3930864930,-0.0756016672,-0.0029941818
59157661281950,0.0045989379,-0.1384117603,-0.4393940866,-0.3896211088,0.1426300853,0.4698064625,-0.7791879773,-0.0940596238,-0.2660648823,-0.3505330384,0.9165554047,-0.3928810060,-0.0745573714,-0.0034594978
59157668258397,0.0044616312,-0.1380923986,-0.4394603968,-0.3920811117,0.1415935755,0.4691314101,-0.7785495520,-0.0944796950,-0.2656241655,-0.3504073024,0.9167744517,-0.3925637305,-0.0735019669,-0.0039781178
59157675269965,0.0036155209,-0.1378160715,-0.4397045970,-0.3948202729,0.1404235810,0.4684298038,-0.7777993083,-0.0951373950,-0.2654107809,-0.3509068489,0.9170697927,-0.3920751512,-0.0723843202,-0.0045426576
59157682141369,0.0030397549,-0.1375074387,-0.4402070045,-0.3977007568,0.1390245259,0.4677162170,-0.7770121694,-0.0955561027,-0.2650728226,-0.3510299921,0.9173153043,-0.3917062879,-0.0712235421,-0.0051116571
59157689082487,0.0027687475,-0.1371350288,-0.4403914511,-0.4013693631,0.1371302754,0.4669146538,-0.7759436965,-0.0960769728,-0.2646985054,-0.3512702286,0.9175722599,-0.3913689852,-0.0697002113,-0.0057784086
59157696046643,0.0017100424,-0.1368075609,-0.4410159588,-0.4052654803,0.1349478513,0.4660826623,-0.7748005986,-0.0964737087,-0.2643533945,-0.3514406681,0.9178335071,-0.3909905553,-0.0683056191,-0.0065096649
59157703024379,0.0014445707,-0.1361227036,-0.4407472312,-0.4105733335,0.1317978501,0.4649950266,-0.7732001543,-0.0970470384,-0.2637308836,-0.3515288532,0.9181169271,-0.3905736506,-0.0667809695,-0.0073339022
59157709948476,0.0006792545,-0.1357353926,-0.4414302409,-0.4156997502,0.1284566075,0.4642001688,-0.7714990377,-0.0974387527,-0.2633756399,-0.3516499102,0.9184450507,-0.3900445104,-0.0652569756,-0.0080929976
59157717433120,-0.0003506318,-0.1351536512,-0.4415796697,-0.4216195941,0.1243796572,0.4636925757,-0.7692566514,-0.0982372537,-0.2629313469,-0.3523366749,0.9188250899,-0.3894202411,-0.0635624304,-0.0084969113
59157723736017,-0.0006288514,-0.1344840527,-0.4415619671,-0.4272837043,0.1204955727,0.4634653032,-0.7668829560,-0.0988458619,-0.2622827291,-0.3523443639,0.9193131328,-0.3885091245,-0.0619746856,-0.0091178259
59157730768404,-0.0016086921,-0.1339839697,-0.4424484372,-0.4334304333,0.1162226349,0.4632498026,-0.7642184496,-0.0993720517,-0.2618268728,-0.3524773121,0.9198163748,-0.3875558674,-0.0603715815,-0.0096740732
59157737740550,-0.0025121942,-0.1332645416,-0.4423958063,-0.4394760728,0.1118676886,0.4633074701,-0.7613754869,-0.1001884714,-0.2612851858,-0.3530844450,0.9203143716,-0.3865743577,-0.0590162054,-0.0099401027
59157744630727,-0.0034796819,-0.1327595711,-0.4432016909,-0.4456879795,0.1075409800,0.4633242190,-0.7583718300,-0.1008416638,-0.2605745792,-0.3530708849,0.9208635688,-0.3854800463,-0.0575137101,-0.0103748189
59157751656234,-0.0033972338,-0.1317359209,-0.4419890642,-0.4519338608,0.1031938940,0.4635885954,-0.7551109195,-0.1017834619,-0.2599421740,-0.3536465168,0.9213867188,-0.3844671547,-0.0558486506,-0.0106097572
59157758606531,-0.0045702159,-0.1310803890,-0.4429059029,-0.4582721591,0.0989303961,0.4636823833,-0.7517966032,-0.1024344862,-0.2593623400,-0.3538624048,0.9218752980,-0.3834966123,-0.0543479286,-0.0110709667
59157765640098,-0.0045783296,-0.1302042007,-0.4416036904,-0.4645709097,0.0952477679,0.4636583924,-0.7484133840,-0.1031424180,-0.2585892677,-0.3538423479,0.9223146439,-0.3826376498,-0.0527993441,-0.0116763189
59157772714696,-0.0064789429,-0.1290888786,-0.4423330128,-0.4708953202,0.0918523669,0.4633975327,-0.7450392842,-0.1039739624,-0.2580300570,-0.3543525040,0.9227524400,-0.3817794919,-0.0512338690,-0.0121400692
59157779505751,-0.0080601647,-0.1283926964,-0.4429871440,-0.4772804677,0.0882788002,0.4630576968,-0.7416115999,-0.1048042849,-0.2572644949,-0.3546780348,0.9231149554,-0.3810813725,-0.0497294851,-0.0127592450
59157786314185,-0.0083611459,-0.1275349855,-0.4424183965,-0.4834811389,0.0851637125,0.4624252915,-0.7383468151,-0.1054990739,-0.2565115690,-0.3545821905,0.9235523343,-0.3801819086,-0.0482579954,-0.0135678891
59157793240451,-0.0092184767,-0.1266804934,-0.4419448972,-0.4905390441,0.0819363669,0.4612574279,-0.7347785830,-0.1064994559,-0.2557991743,-0.3551505804,0.9240391254,-0.3791565299,-0.0468178205,-0.0141477073
59157800283969,-0.0106168911,-0.1259082556,-0.4424554408,-0.4971007705,0.0788603574,0.4601555467,-0.7313882709,-0.1071647927,-0.2552270889,-0.3552763760,0.9245105386,-0.3781552911,-0.0453648195,-0.0148632480
59157807143973,-0.0098654851,-0.1247690916,-0.4411264062,-0.5041471124,0.0759827271,0.4582627118,-0.7280505300,-0.1080025658,-0.2542357445,-0.3553912044,0.9250302911,-0.3770461977,-0.0437474512,-0.0155330459
